honSort1,honSort2
1905,1260.64285714286
1906,1300.92054794521
1907,1309.76164383562
1908,1290.22404371585
1909,1202.74794520548
1910,1251.07123287671
1911,1230.18082191781
1912,1260.64754098361
1913,1290.63287671233
1914,1343.87671232877
1915,1373.81095890411
1916,1326.64754098361
1917,1213.84657534247
1918,1169.59452054795
1919,1341.34794520548
1920,1414.75409836066
1921,1371.88937794745
1922,1329.02465753425
1923,1319.3397260274
1924,1295.2349726776
1925,1343.65205479452
1926,1329.71232876712
1927,1300.16164383562
1928,1280.04644808743
1929,1295.67671232877
1930,1329.51232876712
1931,1341.95068493151
1932,1337.35792349727
1933,1324.26849315068
1934,1289.16712328767
1935,1343.97534246575
1936,1349.07650273224
1937,1317.94520547945
1938,1325.86575342466
1939,1326.68493150685
1940,1403.25956284153
1941,1374.14520547945
1942,1399.16301369863
1943,1424.18082191781
1944,1382.71038251366
1945,1349.00547945205
1946,1366.18904109589
1947,1364.8
1948,1337.39890710383
1949,1358.34520547945
1950,1359.06712328767
1951,1359.78904109589
1952,1369.92896174863
1953,1370.66859046336
1954,1371.40821917808
1955,1297.82465753425
1956,1330.65846994536
1957,1353.75616438356
1958,1388.73698630137
1959,1444.53698630137
1960,1341.7131147541
1961,1410.40821917808
1962,1405.82739726027
1963,1401.24657534247
1964,1380.76229508197
1965,1365.63287671233
1966,1378.71232876712
1967,1390.83020809941
1968,1402.94808743169
1969,1415.76438356164
1970,1356.38630136986
1971,1349.53424657534
1972,1350.54452054795
1973,1351.55479452055
1974,1352.56506849315
1975,1353.57534246575
1976,1371.13841604911
1977,1388.70148963246
1978,1406.26456321581
1979,1423.82763679916
1980,1441.39071038251
1981,1468.49315068493
1982,1431.95479452055
1983,1395.41643835616
1984,1441.98633879781
1985,1413.28767123288
1986,1351.13424657534
1987,1378.78630136986
1988,1464.35519125683
1989,1401.18082191781
1990,1352.01643835616
1991,1396.03835616438
1992,1407.58082191781
1993,1419.12328767123
1994,1413.38356164384
1995,1475.7698630137
1996,1457.69945355191
1997,1442.33698630137
1998,1372.34520547945
1999,1423.17260273973
2000,1389.66393442623
2001,1404.66301369863
2002,1399.6
2003,1472.59726027397
2004,1472.23770491803
2005,1441.69589041096
2006,1471.36164383562
2007,1433.78630136986
2008,1441.17759562842
2009,1394.42465753425
2010,1417.57260273973
2011,1414.04657534247
2012,1417.40710382514
2013,1430.62465753425
2014,1449.81917808219
2015,1447.49589041096
2016,1501.29508196721
2017,1542.85753424658
2018,1479.15616438356
2019,1447.93548387097
